upw_doi,oa_category,evidence,host_type,repository_institution,url_for_landing_page,url_for_pdf
10.3390/polym10090935,opendoar_inst,oa repository (via OAI-PMH doi match),repository,Technische Universität Berlin - Deposit Once,https://depositonce.tu-berlin.de/handle/11303/9807,https://depositonce.tu-berlin.de/bitstream/11303/9807/1/polymers-10-00935.pdf
10.3390/polym10090935,other_repo,oa repository (semantic scholar lookup),repository,NA,https://semanticscholar.org/paper/1baed803a5f60991b97877e550f4be4d338a5d7d,http://pdfs.semanticscholar.org/1bae/d803a5f60991b97877e550f4be4d338a5d7d.pdf
10.3390/polym10090935,other_repo,oa repository (via OAI-PMH title and first author match),repository,"CERN, DESY, Fermilab, IHEP, and SLAC - DESY",http://bib-pubdb1.desy.de/search?p=id:%22PUBDB-2018-03757%22,http://bib-pubdb1.desy.de/record/413842/files/polymers-10-00935.pdf
10.1038/s41591-018-0186-4,opendoar_subject,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6221973,NA
10.1109/jphot.2011.2170558,full_oa_journal,open (via page says Open Access),publisher,NA,https://doi.org/10.1109/jphot.2011.2170558,NA
10.1055/s-0029-1245632,not_oa,NA,NA,NA,NA,NA
10.1088/0967-3334/36/3/503,not_oa,NA,NA,NA,NA,NA
10.1016/j.jcms.2016.09.014,not_oa,NA,NA,NA,NA,NA
10.1007/s10637-011-9762-x,not_oa,NA,NA,NA,NA,NA
10.1111/evo.12037,opendoar_inst,oa repository (via OAI-PMH title and first author match),repository,Georg-August-Universität Göttingen - eDiss,http://hdl.handle.net/11858/00-1735-0000-0023-9903-5,https://ediss.uni-goettingen.de/bitstream/11858/00-1735-0000-0023-9903-5/1/NullmeierJens_Dissertation2014.pdf
10.1002/chem.201201705,not_oa,NA,NA,NA,NA,NA
10.1088/1367-2630/17/2/023013,full_oa_journal,oa journal (via doaj),publisher,NA,https://doi.org/10.1088/1367-2630/17/2/023013,NA
10.1088/1367-2630/17/2/023013,full_oa_journal,open (via page says license),publisher,NA,https://doi.org/10.1088/1367-2630/17/2/023013,http://iopscience.iop.org/article/10.1088/1367-2630/17/2/023013/pdf
10.1088/1367-2630/17/2/023013,opendoar_subject,oa repository (via OAI-PMH doi match),repository,arXiv.org,http://arxiv.org/abs/1501.02148,http://arxiv.org/pdf/1501.02148
10.1088/1367-2630/17/2/023013,opendoar_inst,oa repository (via OAI-PMH title and first author match),repository,"Kooperativer Bibliotheksverbund Berlin-Brandenburg (KOBV), on behalf of the Universitätsbibliothek Erlangen-Nürnberg - OPUS FAU - Online-Publikationssystem der Friedrich-Alexander-Universität Erlangen-Nürnberg",https://opus4.kobv.de/opus4-fau/files/5918/krueger_unimodular.pdf,https://opus4.kobv.de/opus4-fau/files/5918/krueger_unimodular.pdf
10.1007/s00224-017-9790-9,not_oa,NA,NA,NA,NA,NA
10.1111/mmi.13452,other_oa_journal,open (via page says license),publisher,NA,https://doi.org/10.1111/mmi.13452,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mmi.13452
10.1088/0022-3727/44/16/165001,opendoar_other,oa repository (via OAI-PMH title and first author match),repository,NA,https://hal.archives-ouvertes.fr/hal-00613266/file/PEER_stage2_10.1088%252F0022-3727%252F44%252F16%252F165001.pdf,https://hal.archives-ouvertes.fr/hal-00613266/file/PEER_stage2_10.1088%252F0022-3727%252F44%252F16%252F165001.pdf
10.1088/0022-3727/44/16/165001,opendoar_other,oa repository (via OAI-PMH title and first author match),repository,NA,https://hal.archives-ouvertes.fr/hal-00613266,https://hal.archives-ouvertes.fr/hal-00613266/document
10.7754/clin.lab.2015.151002,not_oa,NA,NA,NA,NA,NA
10.1016/j.jpowsour.2016.11.100,not_oa,NA,NA,NA,NA,NA
10.1093/intqhc/mzr086,other_oa_journal,open (via page says license),publisher,NA,https://doi.org/10.1093/intqhc/mzr086,https://academic.oup.com/intqhc/article-pdf/24/2/101/5070620/mzr086.pdf
10.1093/intqhc/mzr086,opendoar_subject,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297368,NA
