repo_url,oai_url,repo_type,org_url,doar_uri,repo_domain
http://eprints.iisc.ac.in,http://eprints.iisc.ernet.in/cgi/oai2,institutional,http://www.iisc.ernet.in,http://v2.sherpa.ac.uk/id/repository/182,eprints.iisc.ac.in
http://iubio.bio.indiana.edu/software/,NA,institutional,http://www.indiana.edu/,http://v2.sherpa.ac.uk/id/repository/183,iubio.bio.indiana.edu
http://dspace.iup.edu/,NA,institutional,http://www.iup.edu/,http://v2.sherpa.ac.uk/id/repository/184,dspace.iup.edu
https://infoscience.epfl.ch/,http://infoscience.epfl.ch/oai2d/,institutional,http://www.epfl.ch/,http://v2.sherpa.ac.uk/id/repository/185,infoscience.epfl.ch
http://ethesis.inp-toulouse.fr/,http://ethesis.inp-toulouse.fr/perl/oai2,institutional,http://www.inp-toulouse.fr/fr/index.html,http://v2.sherpa.ac.uk/id/repository/186,ethesis.inp-toulouse.fr
http://www.rug.nl/research/portal/,https://pure.rug.nl/ws/oai,aggregating,http://www.rug.nl/,http://v2.sherpa.ac.uk/id/repository/189,rug.nl
https://scholarworks.iu.edu/dspace/,http://scholarworks.iu.edu/dspace-oai/request,institutional,http://www.indiana.edu/,http://v2.sherpa.ac.uk/id/repository/193,scholarworks.iu.edu
http://jdc.jefferson.edu/,http://jdc.jefferson.edu/do/oai/,institutional,http://www.jefferson.edu/,http://v2.sherpa.ac.uk/id/repository/194,jdc.jefferson.edu
http://doks.khk.be/eindwerk,http://doks.khk.be/eindwerk/oai,institutional,http://www.thomasmore.be/,http://v2.sherpa.ac.uk/id/repository/197,doks.khk.be
http://kups.ub.uni-koeln.de/,http://kups.ub.uni-koeln.de/cgi/oai2,institutional,http://www.uni-koeln.de/,http://v2.sherpa.ac.uk/id/repository/199,kups.ub.uni-koeln.de
http://eprints.lancs.ac.uk/,http://eprints.lancs.ac.uk/cgi/oai2,institutional,http://www.lancaster.ac.uk/,http://v2.sherpa.ac.uk/id/repository/201,eprints.lancs.ac.uk
https://openaccess.leidenuniv.nl/,https://openaccess.leidenuniv.nl/oai/request,institutional,http://www.leiden.edu/,http://v2.sherpa.ac.uk/id/repository/202,openaccess.leidenuniv.nl
https://drtc.isibang.ac.in/,https://drtc.isibang.ac.in/oai/request,disciplinary,http://www.isibang.ac.in/,http://v2.sherpa.ac.uk/id/repository/203,drtc.isibang.ac.in
http://eprints.lse.ac.uk/,http://eprints.lse.ac.uk/cgi/oai2,institutional,http://www2.lse.ac.uk/home.aspx,http://v2.sherpa.ac.uk/id/repository/206,eprints.lse.ac.uk
http://dspace.mah.se/,http://dspace.mah.se/oai/request,institutional,http://mah.se/english,http://v2.sherpa.ac.uk/id/repository/209,dspace.mah.se
http://matdl.org,NA,governmental,http://www.nist.gov,http://v2.sherpa.ac.uk/id/repository/210,matdl.org
http://edoc.mpg.de/,http://edoc.mpg.de/ac_oai.pl,institutional,http://www.mpg.de/,http://v2.sherpa.ac.uk/id/repository/211,edoc.mpg.de
http://eprints.mdx.ac.uk/,http://eprints.mdx.ac.uk/cgi/oai2,institutional,http://www.mdx.ac.uk/,http://v2.sherpa.ac.uk/id/repository/213,eprints.mdx.ac.uk
http://minds.wisconsin.edu/,http://minds.wisconsin.edu/oai/request,institutional,http://www.wisc.edu/,http://v2.sherpa.ac.uk/id/repository/214,minds.wisconsin.edu
http://www.mpifg.de/pu/mpifg_pub_en.asp,NA,institutional,http://www.mpifg.de/,http://v2.sherpa.ac.uk/id/repository/216,mpifg.de
https://mspace.lib.umanitoba.ca/,NA,institutional,http://www.umanitoba.ca/,http://v2.sherpa.ac.uk/id/repository/217,mspace.lib.umanitoba.ca
http://monarch.qucosa.de/startseite/,http://monarch.qucosa.de/oai/,institutional,http://www.tu-chemnitz.de/,http://v2.sherpa.ac.uk/id/repository/218,monarch.qucosa.de
http://www.mzes.uni-mannheim.de/d7/de/publications/search?f[0]=field_biblio_mzes_pub_type%3A1/,NA,institutional,http://www.uni-mannheim.de/,http://v2.sherpa.ac.uk/id/repository/219,mzes.uni-mannheim.de
http://eprints.maynoothuniversity.ie/,http://eprints.maynoothuniversity.ie/cgi/oai2,institutional,http://www.maynoothuniversity.ie/,http://v2.sherpa.ac.uk/id/repository/223,eprints.maynoothuniversity.ie
http://lsr.nellco.org/,http://lsr.nellco.org/do/oai/,aggregating,http://www.nellco.org/,http://v2.sherpa.ac.uk/id/repository/224,lsr.nellco.org
http://eprint.ncl.ac.uk/,http://eprint2.ncl.ac.uk/,institutional,http://www.ncl.ac.uk/,http://v2.sherpa.ac.uk/id/repository/225,eprint.ncl.ac.uk
http://eprints.nottingham.ac.uk/,http://eprints.nottingham.ac.uk/cgi/oai2,institutional,http://www.nottingham.ac.uk/,http://v2.sherpa.ac.uk/id/repository/226,eprints.nottingham.ac.uk
http://eprints.nottingham.ac.uk/etheses/,http://eprints.nottingham.ac.uk/cgi/oai2,institutional,http://www.nottingham.ac.uk/,http://v2.sherpa.ac.uk/id/repository/227,eprints.nottingham.ac.uk
http://www.oceandocs.org/,https://www.oceandocs.org/oai,disciplinary,http://www.iode.org/,http://v2.sherpa.ac.uk/id/repository/229,oceandocs.org
https://kb.osu.edu/dspace/,https://kb.osu.edu/oai/request,institutional,http://www.osu.edu/,http://v2.sherpa.ac.uk/id/repository/230,kb.osu.edu
http://etd.ohiolink.edu/,https://etd.ohiolink.edu/!etd_search_oai,aggregating,http://www.ohiolink.edu/,http://v2.sherpa.ac.uk/id/repository/231,etd.ohiolink.edu
http://www.vliz.be/en/open-marine-archive,http://www.vliz.be/oma/imis.php,disciplinary,http://www.vliz.be/,http://v2.sherpa.ac.uk/id/repository/232,vliz.be
http://openarchive.cbs.dk/,http://openarchive.cbs.dk/oai/request,institutional,http://uk.cbs.dk/,http://v2.sherpa.ac.uk/id/repository/234,openarchive.cbs.dk
http://openmed.nic.in/,http://openmed.nic.in/perl/oai2,disciplinary,http://www.nic.in/,http://v2.sherpa.ac.uk/id/repository/235,openmed.nic.in
http://fhdd.opus.hbz-nrw.de/,http://fhdd.opus.hbz-nrw.de/phpoai/oai2.php,institutional,http://www.fh-duesseldorf.de/a_fh,http://v2.sherpa.ac.uk/id/repository/236,fhdd.opus.hbz-nrw.de
http://www.opus-bayern.de/ku-eichstaett/,http://opus4.kobv.de/opus4-ku-eichstaett/oai,institutional,http://www.ku-eichstaett.de/,http://v2.sherpa.ac.uk/id/repository/238,opus-bayern.de
