repo_url,oai_url,repo_type,repo_name,org_url,doar_uri
http://ethesis.inp-toulouse.fr/,http://ethesis.inp-toulouse.fr/perl/oai2,institutional,Archive Ouverte Toulouse,https://www.inp-toulouse.fr,https://v2.sherpa.ac.uk/id/repository/186
http://www.rug.nl/research/portal/,https://pure.rug.nl/ws/oai,aggregating,University of Groningen Research Database,http://www.rug.nl/,https://v2.sherpa.ac.uk/id/repository/189
https://scholarworks.iu.edu/dspace/,http://scholarworks.iu.edu/dspace-oai/request,institutional,IUScholarWorks,http://www.indiana.edu/,https://v2.sherpa.ac.uk/id/repository/193
http://jdc.jefferson.edu/,http://jdc.jefferson.edu/do/oai/,institutional,Jefferson Digital Commons,http://www.jefferson.edu/,https://v2.sherpa.ac.uk/id/repository/194
http://doks.khk.be/eindwerk,http://doks.khk.be/eindwerk/oai,institutional,Katholieke Hogeschool Kempen Theses,http://www.thomasmore.be/,https://v2.sherpa.ac.uk/id/repository/197
http://kups.ub.uni-koeln.de/,http://kups.ub.uni-koeln.de/cgi/oai2,institutional,Kölner UniversitätsPublikationsServer,http://www.uni-koeln.de/,https://v2.sherpa.ac.uk/id/repository/199
http://eprints.lancs.ac.uk/,http://eprints.lancs.ac.uk/cgi/oai2,institutional,Lancaster EPrints,http://www.lancaster.ac.uk/,https://v2.sherpa.ac.uk/id/repository/201
https://scholarlypublications.universiteitleiden.nl,https://scholarlypublications.universiteitleiden.nl/oai2,institutional,Leiden University Scholarly Repository,https://www.universiteitleiden.nl,https://v2.sherpa.ac.uk/id/repository/202
https://drtc.isibang.ac.in/,https://drtc.isibang.ac.in/oai/request,disciplinary,Librarians' Digital Library,http://www.isibang.ac.in/,https://v2.sherpa.ac.uk/id/repository/203
http://eprints.lse.ac.uk/,http://eprints.lse.ac.uk/cgi/oai2,institutional,LSE Research Online,http://www2.lse.ac.uk/home.aspx,https://v2.sherpa.ac.uk/id/repository/206
http://dspace.mah.se/,http://dspace.mah.se/oai/request,institutional,Malmö University Electronic Publishing,http://mah.se/english,https://v2.sherpa.ac.uk/id/repository/209
http://matdl.org,NA,governmental,NIST Materials Data Respository,http://www.nist.gov,https://v2.sherpa.ac.uk/id/repository/210
http://edoc.mpg.de/,http://edoc.mpg.de/ac_oai.pl,institutional,Max Planck Society eDoc Server,http://www.mpg.de/,https://v2.sherpa.ac.uk/id/repository/211
